YEAR,JOURNAL,TITLE,DOI
2008,American Midland Naturalist,Influence of woody vegetation on small mammals in tallgrass prairie,10.1674/0003-0031(2008)160[7:IOWVOS]2.0.CO;2
2008,Ecosystems,Woody plant encroachment by Juniperus virginiana in a mesic native grassland promotes rapid carbon and nitrogen accrual,10.1007/s10021-008-9133-4
2008,Behavioral Ecology and Sociobiology,Phenotypic correlates and survival consequences of male mating success in lek-mating Greater Prairie-chickens (Tympanuchus cupido),10.1007/s00265-008-0566-8
2008,Freshwater Biology,Ammonium uptake and mineralization in prairie streams: chamber incubation and short-term nutrient addition experiments,10.1111/j.1365-2427.2007.01870.x
2008,Rangeland Ecology and Management,Long-term response patterns of tallgrass prairie to frequent summer burning,10.2111/08-043.1
2008,Oikos,Influence of grazing and fire frequency on small-scale plant community structure and resource variability in native tallgrass prairie,10.1111/j.0030-1299.2008.16515.x
2009,Oikos,Disturbance frequency and functional identity mediate ecosystem processes in prairie streams,10.1111/j.1600-0706.2008.16849.x
2009,Molecular Ecology Resources,Heteroduplex molecules cause sexing errors in a standard molecular protocol for avian sexing,10.1111/j.1755-0998.2008.02307.x
2009,Global Change Biology,Consequences of climate variability for the performance of bison in tallgrass prairie,10.1111/j.1365-2486.2008.01769.x
2009,Plant Ecology,The effects of fire frequency and grazing on tallgrass prairie productivity and plant composition are mediated through bud bank demography,10.1007/s11258-008-9562-3
2009,Molecular Ecology Resources,"Polymorphic microsatellite markers for the striped skunk, Mephitis mephitis, and other mephitids",10.1111/j.1755-0998.2008.02463.x
2009,Global Change Biology,Contingent productivity responses to more extreme rainfall regimes across a grassland biome,10.1111/j.1365-2486.2009.01961.x
2009,Oecologia,Conservation of nitrogen increases with precipitation across a major grassland gradient in the Central Great Plains of North America,10.1007/s00442-008-1229-1
2009,Acta Oecologica,Ecophysiological responses of two dominant grasses to altered temperature and precipitation regimes,10.1016/j.actao.2009.01.010
2009,Behavioral Ecology and Sociobiology,Parent-absent begging in the Brown-headed Cowbird (Molothrus ater): the role of short-term need and nestmate size,10.1007/s00265-008-0704-3
2009,Proceedings of the Royal Society B: Biological Sciences,Hippocampal volumes and neuron numbers increase along a gradient of environmental harshness: a large-scale comparison,10.1098/rspb.2008.1184
2009,Ecology Letters,Soil aggregation and carbon sequestration are tightly correlated with the abundance of arbuscular mycorrhizal fungi: results from long-term field experiments,10.1111/j.1461-0248.2009.01303.x
2009,Biological Invasions,High propagule production and reproductive fitness homeostasis contribute to the invasiveness of Lespedeza cuneata (Fabaceae),10.1007/s10530-008-9369-0
2010,Molecular Ecology,Comparative genome scan detects host-related divergent selection in the grasshopper Hesperotettix viridis,10.1111/j.1365-294X.2010.04792.x
2010,Ecosphere,Contrasting ecosystem recovery on two soil textures: implications for carbon mitigation and grassland conservation,10.1890/ES10-00004.1
2010,Rangeland Ecology and Management,Net carbon fluxes over burned and unburned native tallgrass prairie,10.2111/REM-D-09-00010.1
2010,Global Change Biology,Climate change and cattle nutritional stress,10.1111/j.1365-2486.2009.02060.x
2010,Ecology,Climate controls on grass culm production over a quarter century in a tallgrass prairie,10.1890/09-1242.1
2010,Journal of Arid Environments,Phosphorus biogeochemistry across a precipitation gradient in grasslands of central North America,10.1016/j.jaridenv.2010.01.003
2010,Molecular Ecology,Massively parallel 454-sequencing of fungal communities in Quercus spp. ectomycorrhizas indicates seasonal dynamics in urban and rural sites,10.1111/j.1365-294X.2009.04483.x
2010,Oecologia,Linking snake habitat use to nest predation risk in grassland birds: the dangers of shrub cover,10.1007/s00442-009-1549-9
2010,Restoration Ecology,Dominant grasses suppress local diversity in restored tallgrass prairie,10.1111/j.1526-100X.2010.00669.x
2010,Ecology,Consumer return chronology alters recovery trajectory of stream ecosystem structure and function following drought,10.1890/08-2168.1
2010,Proceedings of the Royal Society B: Biological Sciences,Learning capabilities enhanced in harsh environments: a common garden approach,10.1098/rspb.2010.0630
2010,Molecular Ecology,"Relatedness of Macrophomina phaseolina isolates from tallgrass prairie, maize, soybean, and sorghum",10.1111/j.1365-294X.2009.04433.x
2010,Ecology,Fire and grazing in a mesic tallgrass prairie: impacts on plant species and functional traits,10.1890/09-0431.1
